[検索タイプ] : 企業検索,,,,,,,,,,,
[検索条件] : 〔 業種（東証） ： 水産・農林業 OR 鉱　業 OR 建設業 OR 食料品 OR 繊維製品 OR パルプ・紙 OR 化　学 OR 医薬品 OR 石油・石炭製品 OR ゴム製品 OR ガラス・土石製品 OR 鉄　鋼 OR 非鉄金属 OR 金属製品 OR 機　械 OR 電気機器 OR 輸送用機器 OR 精密機器 OR その他製品 OR 電気・ガス業 OR 陸運業 OR 海運業 OR 空運業 OR 倉庫・運輸関連業 OR 情報・通信業 OR 卸売業 OR 小売業 OR 銀行業 OR 証券、商品先物取引業 OR 保険業 OR その他金融業 OR 不動産業 OR サービス業 〕 AND 〔 決算月 ： 3月 〕 AND 〔 連結/非連結 ： 連結 〕 AND 〔 その他表示項目 ： 時価総額（直近終値ベース） 〕,,,,,,,,,,,
[並び順] : 〔 証券コード ： 昇順 〕,,,,,,,,,,,
,,,,,,,,,,,
[No],[証券コード],[EDINETコード],[企業名],[業種（東証）],[上場市場],[決算月],[会計方式],[連結/非連結],[監査法人],[時価総額（直近終値ベース）[百万円]],[ウォッチリスト]
353,3275,E25621,ハウスコム㈱,不動産業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 9,706 ",--
354,3284,E27281,㈱フージャースホールディングス,不動産業,東証一部,3月末日,日本基準,連結,海南監査法人," 28,093 ",--
355,3289,E27633,東急不動産ホールディングス㈱,不動産業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 521,157 ",--
356,3291,E27759,飯田グループホールディングス㈱,不動産業,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 899,488 ",--
357,3293,E30066,アズマハウス㈱,不動産業,JASDAQ スタンダード,3月末日,日本基準,連結,ＰｗＣ京都監査法人," 6,039 ",--
358,3306,E00558,日本製麻㈱,卸売業,東証二部,3月末日,日本基準,連結,なぎさ監査法人," 1,289 ",--
359,3315,E00030,日本コークス工業㈱,石油・石炭製品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 31,746 ",--
360,3322,E05399,アルファグループ㈱,卸売業,JASDAQ スタンダード,3月末日,日本基準,連結,清陽監査法人," 5,047 ",--
361,3341,E05422,日本調剤㈱,小売業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 52,238 ",--
362,3346,E00390,２１ＬＡＤＹ㈱,小売業,名証セントレックス,3月末日,日本基準,連結,監査法人ハイビスカス, 836 ,--
363,3347,E02977,㈱トラスト,小売業,東証二部,3月末日,日本基準,連結,監査法人東海会計社," 5,123 ",--
364,3352,E03447,㈱バッファロー,小売業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 2,894 ",--
365,3356,E02970,㈱テリロジー,卸売業,JASDAQ スタンダード,3月末日,日本基準,連結,UHY東京監査法人," 8,837 ",--
366,3360,E03450,シップヘルスケアホールディングス㈱,卸売業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 266,475 ",--
367,3371,E05485,㈱ソフトクリエイトホールディングス,情報・通信業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 30,966 ",--
368,3372,E03457,㈱関門海,小売業,東証二部,3月末日,日本基準,連結,監査法人やまぶき," 4,322 ",--
369,3374,E02986,内外テック㈱,卸売業,JASDAQ スタンダード,3月末日,日本基準,連結,新日本有限責任監査法人," 12,894 ",--
370,3388,E02992,明治電機工業㈱,卸売業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 17,026 ",--
371,3390,E05523,ＩＮＥＳＴ㈱,卸売業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 5,136 ",--
372,3392,E02994,デリカフーズホールディングス㈱,卸売業,東証一部,3月末日,日本基準,連結,仰星監査法人," 9,384 ",--
373,3393,E05539,スターティアホールディングス㈱,卸売業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 14,643 ",--
374,3395,E05556,㈱サンマルクホールディングス,小売業,東証一部,3月末日,日本基準,連結,ＰｗＣ京都監査法人," 38,311 ",--
375,3397,E03468,㈱トリドールホールディングス,小売業,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 156,336 ",--
376,3401,E00872,帝人㈱,繊維製品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 356,316 ",--
377,3402,E00873,東レ㈱,繊維製品,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 1,247,267 ",--
378,3407,E00877,旭化成㈱,化　学,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 1,777,263 ",--
379,3408,E00565,サカイオーベックス㈱,繊維製品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 19,759 ",--
380,3409,E00566,北日本紡績㈱,繊維製品,東証二部,3月末日,日本基準,連結,史彩監査法人," 3,008 ",--
381,3417,E31624,大木ヘルスケアホールディングス㈱,卸売業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 15,690 ",--
382,3420,E02876,㈱ケー・エフ・シー,金属製品,東証二部,3月末日,日本基準,連結,太陽有限責任監査法人," 13,560 ",--
383,3422,E01452,㈱丸順,金属製品,東証二部、名証二部,3月末日,日本基準,連結,太陽有限責任監査法人," 11,928 ",--
384,3423,E01298,㈱エスイー,金属製品,JASDAQ スタンダード,3月末日,日本基準,連結,四谷監査法人," 9,001 ",--
385,3431,E01461,宮地エンジニアリンググループ㈱,金属製品,東証一部,3月末日,日本基準,連結,東陽監査法人," 16,115 ",--
386,3433,E01443,トーカロ㈱,金属製品,東証一部,3月末日,日本基準,連結,ＰｗＣ京都監査法人," 92,461 ",--
387,3434,E02245,㈱アルファ,金属製品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 11,607 ",--
388,3435,E01462,サンコーテクノ㈱,金属製品,東証二部,3月末日,日本基準,連結,監査法人アヴァンティア," 7,975 ",--
389,3437,E01464,特殊電極㈱,金属製品,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 3,477 ",--
390,3442,E01466,㈱ＭＩＥコーポレーション,金属製品,名証二部,3月末日,日本基準,連結,かがやき監査法人, 900 ,--
391,3443,E21955,川田テクノロジーズ㈱,金属製品,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 22,657 ",--
392,3447,E33834,信和㈱,金属製品,東証一部、名証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 10,281 ",--
393,3464,E31970,プロパティエージェント㈱,不動産業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 16,593 ",--
394,3465,E31979,ケイアイスター不動産㈱,不動産業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 73,648 ",--
395,3504,E32204,㈱丸八ホールディングス,繊維製品,名証二部,3月末日,日本基準,連結,ＵＨＹ東京監査法人," 12,964 ",--
396,3512,E00573,日本フエルト㈱,繊維製品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 9,087 ",--
397,3513,E00572,イチカワ㈱,繊維製品,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 6,834 ",--
398,3515,E00612,㈱フジコー,繊維製品,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 2,964 ",--
399,3521,E00576,エコナックホールディングス㈱,サービス業,東証一部,3月末日,日本基準,連結,フロンティア監査法人," 3,931 ",--
400,3526,E00577,芦森工業㈱,輸送用機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 6,335 ",--
401,3528,E00568,㈱プロスペクト,不動産業,東証二部,3月末日,日本基準,連結,四谷監査法人," 15,525 ",--
402,3529,E00567,アツギ㈱,繊維製品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 10,824 ",--
403,3537,E32146,昭栄薬品㈱,卸売業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 3,579 ",--
404,3551,E00996,ダイニック㈱,繊維製品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 6,642 ",--
405,3553,E00994,共和レザー㈱,化　学,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 17,689 ",--
406,3561,E33011,㈱力の源ホールディングス,小売業,東証一部,3月末日,日本基準,連結,三優監査法人," 17,647 ",--
407,3569,E00562,セーレン㈱,繊維製品,東証一部,3月末日,日本基準,連結,ひびき監査法人," 140,901 ",--
408,3571,E00569,㈱ソトー,繊維製品,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 11,272 ",--
409,3577,E00563,東海染工㈱,繊維製品,東証一部、名証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 4,091 ",--
410,3578,E00596,倉庫精練㈱,繊維製品,東証二部,3月末日,日本基準,連結,太陽有限責任監査法人," 1,164 ",--
411,3580,E00591,小松マテーレ㈱,繊維製品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 41,587 ",--
412,3583,E00584,オーベクス㈱,繊維製品,東証二部,3月末日,日本基準,連結,監査法人グラヴィタス," 2,093 ",--
413,3591,E00590,㈱ワコールホールディングス,繊維製品,東証一部,3月末日,米国（SEC）基準,連結,有限責任監査法人トーマツ," 168,563 ",--
414,3593,E02315,㈱ホギメディカル,繊維製品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 112,263 ",--
415,3598,E02773,山喜㈱,繊維製品,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 2,481 ",--
416,3600,E00610,㈱フジックス,繊維製品,東証二部,3月末日,日本基準,連結,三優監査法人," 2,491 ",--
417,3604,E00614,川本産業㈱,繊維製品,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 6,600 ",--
418,3611,E33574,㈱マツオカコーポレーション,繊維製品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 17,845 ",--
419,3612,E02767,㈱ワールド,繊維製品,東証一部,3月末日,IFRS基準,連結,ＰｗＣあらた有限責任監査法人," 54,819 ",--
420,3622,E05736,ネットイヤーグループ㈱,情報・通信業,東証マザーズ,3月末日,日本基準,連結,有限責任監査法人トーマツ," 5,109 ",--
421,3626,E05739,ＴＩＳ㈱,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 731,370 ",--
422,3635,E22460,㈱コーエーテクモホールディングス,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 875,532 ",--
423,3640,E24457,㈱電算,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 14,703 ",--
424,3641,E24453,㈱パピレス,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,アーク有限責任監査法人," 17,689 ",--
425,3646,E25206,㈱駅探,情報・通信業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 3,552 ",--
426,3648,E25263,ＡＧＳ㈱,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 15,061 ",--
427,3652,E25620,㈱ディジタルメディアプロフェッショナル,情報・通信業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,500 ",--
428,3661,E26332,㈱エムアップホールディングス,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 24,907 ",--
429,3666,E27050,㈱テクノスジャパン,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 12,403 ",--
430,3670,E27235,協立情報通信㈱,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 1,982 ",--
431,3676,E27655,㈱デジタルハーツホールディングス,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 38,201 ",--
432,3679,E30047,㈱じげん,情報・通信業,東証一部,3月末日,IFRS基準,連結,有限責任監査法人トーマツ," 45,573 ",--
433,3686,E30466,㈱ディー・エル・イー,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 12,661 ",--
434,3694,E30918,㈱オプティム,情報・通信業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 126,577 ",--
435,3708,E00691,特種東海製紙㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 65,336 ",--
436,3738,E05392,㈱ティーガイア,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 109,961 ",--
437,3750,E05443,ＦＲＡＣＴＡＬＥ㈱,情報・通信業,東証二部,3月末日,日本基準,連結,監査法人ハイビスカス," 12,041 ",--
438,3751,E05430,日本アジアグループ㈱,情報・通信業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 25,487 ",--
439,3753,E05432,㈱フライトホールディングス,情報・通信業,東証二部,3月末日,日本基準,連結,太陽有限責任監査法人," 5,276 ",--
440,3762,E05463,テクマトリックス㈱,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 73,277 ",--
441,3763,E05466,㈱プロシップ,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 20,524 ",--
442,3766,E05469,システムズ・デザイン㈱,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 2,296 ",--
443,3768,E05471,リスクモンスター㈱,情報・通信業,東証二部,3月末日,日本基準,連結,八重洲監査法人," 7,252 ",--
444,3771,E05487,㈱システムリサーチ,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 17,430 ",--
445,3772,E03801,ウェルス・マネジメント㈱,不動産業,東証二部,3月末日,日本基準,連結,東陽監査法人," 14,443 ",--
446,3773,E05496,㈱アドバンスト・メディア,情報・通信業,東証マザーズ,3月末日,日本基準,連結,監査法人アヴァンティア," 14,281 ",--
447,3774,E05480,㈱インターネットイニシアティブ,情報・通信業,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 295,000 ",--
448,3778,E05518,さくらインターネット㈱,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 23,889 ",--
449,3779,E05543,ジェイ・エスコム　ホールディングス㈱,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,アスカ監査法人," 1,152 ",--
450,3793,E05552,㈱ドリコム,情報・通信業,東証マザーズ,3月末日,日本基準,連結,有限責任監査法人トーマツ," 18,838 ",--
451,3796,E05551,㈱いい生活,情報・通信業,東証二部,3月末日,日本基準,連結,きさらぎ監査法人," 3,181 ",--
452,3798,E05521,ＵＬＳグループ㈱,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 27,486 ",--
453,3799,E05553,キーウェアソリューションズ㈱,情報・通信業,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,859 ",--
454,3800,E05561,㈱ユニリタ,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 15,725 ",--
455,3802,E05578,㈱エコミック,情報・通信業,札証アンビシャス、JASDAQ スタンダード,3月末日,日本基準,連結,三優監査法人," 2,002 ",--
456,3803,E05573,イメージ情報開発㈱,情報・通信業,JASDAQ グロース,3月末日,日本基準,連結,監査法人アリア," 1,229 ",--
457,3817,E05640,㈱ＳＲＡホールディングス,情報・通信業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 42,199 ",--
458,3825,E05645,㈱リミックスポイント,情報・通信業,東証二部,3月末日,日本基準,連結,アスカ監査法人," 16,045 ",--
459,3830,E05650,㈱ギガプライズ,情報・通信業,名証セントレックス,3月末日,日本基準,連結,有限責任監査法人トーマツ," 23,721 ",--
460,3835,E05659,ｅＢＡＳＥ㈱,情報・通信業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 39,995 ",--
461,3837,E05664,アドソル日進㈱,情報・通信業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 22,510 ",--
462,3839,E05679,㈱ＯＤＫソリューションズ,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,920 ",--
463,3840,E05674,パス㈱,情報・通信業,東証二部,3月末日,日本基準,連結,ＲＳＭ清和監査法人," 3,288 ",--
464,3842,E05677,㈱ネクストジェン,情報・通信業,JASDAQ グロース,3月末日,日本基準,連結,東陽監査法人," 3,269 ",--
465,3844,E05678,コムチュア㈱,情報・通信業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 77,121 ",--
466,3845,E05682,㈱アイフリークモバイル,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人アヴァンティア," 2,763 ",--
467,3847,E05687,パシフィックシステム㈱,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 4,884 ",--
468,3848,E05688,㈱データ・アプリケーション,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 6,068 ",--
469,3850,E05694,㈱エヌ・ティ・ティ・データ・イントラマート,情報・通信業,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 14,478 ",--
470,3851,E02489,㈱日本一ソフトウェア,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人東海会計社," 6,199 ",--
471,3853,E05699,アステリア㈱,情報・通信業,東証一部,3月末日,IFRS基準,連結,太陽有限責任監査法人," 14,202 ",--
472,3857,E05720,㈱ラック,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人アヴァンティア," 25,935 ",--
473,3858,E05719,㈱ユビキタスＡＩコーポレーション,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 6,264 ",--
474,3861,E00642,王子ホールディングス㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 662,391 ",--
475,3863,E11873,日本製紙㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 150,317 ",--
476,3864,E00644,三菱製紙㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 16,420 ",--
477,3865,E00645,北越コーポレーション㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 111,515 ",--
478,3877,E00649,中越パルプ工業㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,仰星監査法人," 16,252 ",--
479,3878,E00650,㈱巴川製紙所,パルプ・紙,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 8,425 ",--
480,3880,E00660,大王製紙㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 295,772 ",--
481,3891,E00685,ニッポン高度紙工業㈱,パルプ・紙,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 40,911 ",--
482,3895,E00690,ハビックス㈱,パルプ・紙,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 4,569 ",--
483,3896,E26914,阿波製紙㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 4,343 ",--
484,3905,E31131,データセクション㈱,情報・通信業,東証マザーズ,3月末日,日本基準,連結,ＰｗＣ京都監査法人," 5,850 ",--
485,3910,E30993,㈱エムケイシステム,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 3,544 ",--
486,3917,E31626,㈱アイリッジ,情報・通信業,東証マザーズ,3月末日,日本基準,連結,有限責任監査法人トーマツ," 5,640 ",--
487,3923,E31878,㈱ラクス,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 376,748 ",--
488,3925,E31957,㈱ダブルスタンダード,情報・通信業,東証一部,3月末日,日本基準,連結,ＵＨＹ東京監査法人," 34,561 ",--
489,3926,E31936,㈱オープンドア,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 82,495 ",--
490,3929,E31955,ソーシャルワイヤー㈱,情報・通信業,東証マザーズ,3月末日,日本基準,連結,有限責任監査法人トーマツ," 4,288 ",--
491,3932,E32200,㈱アカツキ,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 50,958 ",--
492,3933,E32161,チエル㈱,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 10,276 ",--
493,3934,E32159,㈱ベネフィットジャパン,情報・通信業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 12,434 ",--
494,3936,E32225,㈱グローバルウェイ,情報・通信業,東証マザーズ,3月末日,日本基準,連結,監査法人元和," 1,446 ",--
495,3937,E32408,㈱Ｕｂｉｃｏｍホールディングス,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 38,064 ",--
496,3941,E00659,レンゴー㈱,パルプ・紙,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 265,363 ",--
497,3943,E00677,大石産業㈱,パルプ・紙,福証上場,3月末日,日本基準,連結,有限責任監査法人トーマツ," 8,334 ",--
498,3945,E00675,スーパーバッグ㈱,パルプ・紙,東証二部,3月末日,日本基準,連結,史彩監査法人," 2,070 ",--
499,3946,E00669,㈱トーモク,パルプ・紙,東証一部、札証上場,3月末日,日本基準,連結,EY新日本有限責任監査法人," 37,909 ",--
500,3951,E00714,朝日印刷㈱,パルプ・紙,東証二部,3月末日,日本基準,連結,新日本有限責任監査法人," 21,422 ",--
501,3952,E00681,中央紙器工業㈱,パルプ・紙,名証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 5,695 ",--
502,3954,E00686,昭和パックス㈱,パルプ・紙,JASDAQ スタンダード,3月末日,日本基準,連結,新日本有限責任監査法人," 7,636 ",--
503,3963,E32647,㈱シンクロ・フード,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 10,542 ",--
504,3970,E32766,㈱イノベーション,情報・通信業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 8,386 ",--
505,3979,E32794,㈱うるる,情報・通信業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 10,944 ",--
506,4005,E00752,住友化学㈱,化　学,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 1,018,099 ",--
507,4008,E00755,住友精化㈱,化　学,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 49,953 ",--
508,4021,E00759,日産化学㈱,化　学,東証一部,3月末日,日本基準,連結,八重洲監査法人," 828,000 ",--
509,4022,E00760,ラサ工業㈱,化　学,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 15,213 ",--
510,4023,E00761,㈱クレハ,化　学,東証一部,3月末日,IFRS基準,連結,ＥＹ新日本有限責任監査法人," 133,154 ",--
511,4027,E00764,テイカ㈱,化　学,東証一部,3月末日,日本基準,連結,恒栄監査法人," 33,531 ",--
512,4028,E00765,石原産業㈱,化　学,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 43,049 ",--
513,4031,E00789,片倉コープアグリ㈱,化　学,東証一部,3月末日,日本基準,連結,海南監査法人," 12,275 ",--
514,4041,E00766,日本曹達㈱,化　学,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 99,197 ",--
515,4042,E00767,東ソー㈱,化　学,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 643,660 ",--
516,4043,E00768,㈱トクヤマ,化　学,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 167,389 ",--
517,4044,E00769,セントラル硝子㈱,化　学,東証一部,3月末日,日本基準,連結,八重洲監査法人," 89,991 ",--
518,4046,E00771,㈱大阪ソーダ,化　学,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 67,470 ",--
519,4047,E00772,関東電化工業㈱,化　学,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 58,524 ",--
520,4061,E00774,デンカ㈱,化　学,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 332,084 ",--
521,4062,E00775,イビデン㈱,電気機器,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 778,958 ",--
522,4063,E00776,信越化学工業㈱,化　学,東証一部、名証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 7,918,676 ",--
523,4064,E00777,日本カーバイド工業㈱,化　学,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 11,766 ",--
524,4069,E36653,㈱ＢｌｕｅＭｅｍｅ,情報・通信業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人,--,--
525,4070,E34023,㈱リヴァンプ,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,三優監査法人,--,--
526,4078,E00780,堺化学工業㈱,化　学,東証一部,3月末日,日本基準,連結,ひびき監査法人," 32,045 ",--
527,4082,E00806,第一稀元素化学工業㈱,化　学,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 44,188 ",--
528,4088,E00792,エア・ウォーター㈱,化　学,東証一部、札証上場,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 407,355 ",--
529,4091,E00783,日本酸素ホールディングス㈱,化　学,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 924,653 ",--
530,4092,E00784,日本化学工業㈱,化　学,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 25,010 ",--
531,4093,E00787,東邦アセチレン㈱,化　学,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 8,495 ",--
532,4094,E00786,日本化学産業㈱,化　学,東証二部,3月末日,日本基準,連結,仰星監査法人," 26,387 ",--
533,4095,E00898,日本パーカライジング㈱,化　学,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 147,456 ",--
534,4097,E00781,高圧ガス工業㈱,化　学,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 35,791 ",--
535,4098,E00796,チタン工業㈱,化　学,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 5,876 ",--
536,4099,E00841,四国化成工業㈱,化　学,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 68,617 ",--
537,4100,E00842,戸田工業㈱,化　学,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 14,650 ",--
538,4102,E00791,丸尾カルシウム㈱,化　学,東証二部,3月末日,日本基準,連結,太陽有限責任監査法人," 3,483 ",--
539,4109,E00805,ステラ　ケミファ㈱,化　学,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 40,168 ",--
540,4112,E00809,保土谷化学工業㈱,化　学,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 33,865 ",--
541,4113,E00810,田岡化学工業㈱,化　学,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 38,208 ",--
542,4114,E00811,㈱日本触媒,化　学,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 222,768 ",--
543,4115,E00812,本州化学工業㈱,化　学,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 21,022 ",--
544,4116,E00902,大日精化工業㈱,化　学,東証一部,3月末日,日本基準,連結,監査法人保森会計事務所," 44,187 ",--
545,4118,E00879,㈱カネカ,化　学,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 305,320 ",--
546,4119,E00899,日本ピグメント㈱,化　学,東証二部,3月末日,日本基準,連結,アーク有限責任監査法人," 3,460 ",--
547,4177,E36343,㈱ｉ‐ｐｌｕｇ,情報・通信業,東証マザーズ,3月末日,日本基準,連結,有限責任あずさ監査法人," 19,968 ",--
548,4179,E36398,㈱ジーネクスト,情報・通信業,東証マザーズ,3月末日,日本基準,連結,東邦監査法人," 6,248 ",--
549,4182,E00815,三菱ガス化学㈱,化　学,東証一部,3月末日,日本基準,連結,東陽監査法人," 567,959 ",--
550,4183,E00840,三井化学㈱,化　学,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 788,766 ",--
551,4185,E01003,ＪＳＲ㈱,化　学,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 720,211 ",--
